/root/minigrid-continual_backprop/scripts/train.py --algo ppo --env ALE/Kaboom-v5 --model kaboom_breakout_cb --frames 10000000 --procs 100 --save-interval 10 --continual-backprop

Namespace(algo='ppo', env='ALE/Kaboom-v5', model='kaboom_breakout_cb', seed=1, log_interval=1, save_interval=10, procs=100, frames=10000000, epochs=4, batch_size=256, frames_per_proc=None, discount=0.99, lr=0.001, gae_lambda=0.95, entropy_coef=0.01, value_loss_coef=0.5, max_grad_norm=0.5, optim_eps=1e-08, optim_alpha=0.99, clip_eps=0.2, recurrence=1, text=False, continual_backprop=True, exploration=False, mem=False)

Device: cuda

Environments loaded

Training status loaded

Observations preprocessor loaded
Model loaded

AtariACModel(
  (image_conv): Sequential(
    (0): Conv2d(4, 32, kernel_size=(8, 8), stride=(4, 4))
    (1): ReLU()
    (2): Conv2d(32, 64, kernel_size=(4, 4), stride=(2, 2))
    (3): ReLU()
    (4): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1))
    (5): ReLU()
  )
  (actor): Sequential(
    (0): Linear(in_features=3136, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=4, bias=True)
  )
  (critic): Sequential(
    (0): Linear(in_features=3136, out_features=64, bias=True)
    (1): Tanh()
    (2): Linear(in_features=64, out_features=1, bias=True)
  )
)

Optimizer loaded

U 22 | F 281600 | FPS 0178 | D 1571 | rR:mean/std/min/max 11.39 8.63 0.00 45.00 | F:mean/std/min/max 257.9 58.1 169.0 459.0 | H 1.091 | V 2.293 | pL -0.366 | vL 1.159 | grad 4.923
U 23 | F 294400 | FPS 0179 | D 1642 | rR:mean/std/min/max 11.96 7.75 0.00 38.00 | F:mean/std/min/max 264.2 55.7 169.0 407.0 | H 1.102 | V 2.135 | pL -0.333 | vL 1.281 | grad 6.266
U 24 | F 307200 | FPS 0178 | D 1714 | rR:mean/std/min/max 14.94 9.09 2.00 51.00 | F:mean/std/min/max 284.9 57.7 173.0 456.0 | H 1.024 | V 2.677 | pL -0.426 | vL 1.061 | grad 3.624
U 25 | F 320000 | FPS 0178 | D 1786 | rR:mean/std/min/max 17.47 9.91 3.00 51.00 | F:mean/std/min/max 303.3 62.3 173.0 460.0 | H 0.984 | V 2.822 | pL -0.512 | vL 1.936 | grad 5.401
U 26 | F 332800 | FPS 0179 | D 1857 | rR:mean/std/min/max 19.98 9.95 4.00 51.00 | F:mean/std/min/max 317.9 58.1 197.0 463.0 | H 0.992 | V 2.634 | pL -0.319 | vL 1.467 | grad 3.704
U 27 | F 345600 | FPS 0180 | D 1929 | rR:mean/std/min/max 20.68 9.48 5.00 51.00 | F:mean/std/min/max 327.8 58.4 208.0 483.0 | H 0.926 | V 2.959 | pL -0.451 | vL 1.725 | grad 3.892
U 28 | F 358400 | FPS 0180 | D 2000 | rR:mean/std/min/max 21.44 12.93 5.00 74.00 | F:mean/std/min/max 327.9 68.0 208.0 500.0 | H 0.938 | V 2.945 | pL -0.457 | vL 1.689 | grad 5.049
U 29 | F 371200 | FPS 0179 | D 2071 | rR:mean/std/min/max 22.08 15.83 4.00 101.00 | F:mean/std/min/max 335.5 80.6 184.0 571.0 | H 0.890 | V 3.121 | pL -0.487 | vL 1.605 | grad 7.082
U 30 | F 384000 | FPS 0178 | D 2143 | rR:mean/std/min/max 24.28 16.52 4.00 101.00 | F:mean/std/min/max 347.8 83.4 184.0 571.0 | H 0.852 | V 3.204 | pL -0.516 | vL 2.053 | grad 5.709
Status saved
